2025-03-16 12:06:24 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/employee_db?createDatabaseIfNotExist=true&useSSL=false&serverTimezone=UTC&allowPublicKeyRetrieval=true'
2025-03-16 12:06:24 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-16 12:06:24 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-03-16 12:06:24 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-03-16 12:06:24 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2025-03-16 12:06:25 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-03-16 12:06:25 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-03-16 12:06:25 [restartedMain] INFO  c.e.cruddemo.config.DataInitializer - DataInitializer initialized with repository
2025-03-16 12:06:25 [restartedMain] INFO  log1 - EmployeeServiceImpl initialized with repository and entity manager
2025-03-16 12:06:25 [restartedMain] INFO  c.e.c.controller.EmployeeController - EmployeeController initialized with service
2025-03-16 12:06:25 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-03-16 12:06:25 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-03-16 12:06:25 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-03-16 12:06:25 [restartedMain] INFO  c.e.cruddemo.CrudDemoApplication - Started CrudDemoApplication in 2.916 seconds (JVM running for 3.249)
2025-03-16 12:06:25 [restartedMain] INFO  c.e.cruddemo.config.DataInitializer - Starting data initialization...
2025-03-16 12:06:25 [restartedMain] INFO  c.e.cruddemo.config.DataInitializer - Data already exists, skipping initialization
2025-03-16 12:06:25 [restartedMain] INFO  log1 - Running with active profile: prod
2025-03-16 12:06:25 [restartedMain] INFO  log1 - Database URL: jdbc:mysql://localhost:3306/employee_db?createDatabaseIfNotExist=true&useSSL=false&serverTimezone=UTC&allowPublicKeyRetrieval=true
2025-03-16 12:06:25 [restartedMain] INFO  log1 - Server Port: 8080
2025-03-16 12:06:44 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-16 12:06:44 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-03-16 12:06:44 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-03-16 12:06:44 [http-nio-8080-exec-2] INFO  log1 - Fetching all employees
2025-03-16 12:06:44 [http-nio-8080-exec-2] INFO  log1 - Service: Getting all employees
2025-03-16 12:06:45 [http-nio-8080-exec-3] INFO  log1 - Fetching all employees
2025-03-16 12:06:45 [http-nio-8080-exec-3] INFO  log1 - Service: Getting all employees
2025-03-16 13:08:54 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=49s870ms171µs999ns).
2025-03-16 14:18:06 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=54m40s972ms107µs300ns).
